blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
420,ANG MO KIO AVE 10,12,1979,Y,N,N,Y,N,N,AMK,264,0,0,0,0,0,0,0,0,264,0,0,0
420,BEDOK NTH ST 1,12,1978,Y,Y,N,N,N,N,BD,263,0,0,240,22,1,0,0,0,0,0,0,0
420,BT BATOK WEST AVE 2,12,1985,Y,N,N,N,N,N,BB,114,0,0,68,46,0,0,0,0,0,0,0,0
420,CANBERRA RD,14,1999,Y,N,N,N,N,N,SB,92,0,0,0,27,65,0,0,0,0,0,0,0
420,CHOA CHU KANG AVE 4,16,1992,Y,N,N,N,N,N,CCK,75,0,0,0,0,0,75,0,0,0,0,0,0
420,CLEMENTI AVE 1,40,2012,Y,N,N,N,N,N,CL,300,0,0,76,224,0,0,0,0,0,0,0,0
420,FAJAR RD,12,1988,Y,N,N,Y,N,N,BP,66,0,0,0,44,22,0,0,0,0,0,0,0
420,HOUGANG AVE 10,13,1988,Y,N,N,N,N,N,HG,120,0,0,0,96,24,0,0,0,0,0,0,0
420,JURONG WEST ST 42,12,1984,Y,N,N,Y,N,N,JW,110,0,0,0,110,0,0,0,0,0,0,0,0
420,PASIR RIS DR 6,4,1988,Y,N,N,N,N,N,PRC,12,0,0,0,0,0,12,0,0,0,0,0,0
420,SERANGOON CTRL,13,1988,Y,N,N,N,N,N,SGN,96,0,0,0,72,24,0,0,0,0,0,0,0
420,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
420,WOODLANDS ST 41,12,1985,Y,N,N,N,N,N,WL,62,0,0,6,4,10,42,0,0,0,0,0,0
420A,CLEMENTI AVE 1,2,2012,N,Y,N,Y,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
421,ANG MO KIO AVE 10,13,1978,Y,Y,N,N,N,N,AMK,134,0,0,111,22,0,1,0,0,0,0,0,0
421,BEDOK NTH RD,14,1978,Y,N,N,N,N,N,BD,156,0,0,0,156,0,0,0,0,0,0,0,0
421,BT BATOK WEST AVE 2,12,1985,Y,N,N,N,N,N,BB,114,0,0,68,46,0,0,0,0,0,0,0,0
421,CANBERRA RD,14,1999,Y,N,N,N,N,N,SB,92,0,0,0,27,65,0,0,0,0,0,0,0
421,CHOA CHU KANG AVE 4,12,1990,Y,N,N,Y,N,N,CCK,88,0,0,0,66,22,0,0,0,0,0,0,0
421,CLEMENTI AVE 1,40,2012,Y,N,N,N,N,N,CL,300,0,0,76,224,0,0,0,0,0,0,0,0
421,FAJAR RD,12,1988,Y,N,N,N,N,N,BP,86,0,0,0,65,21,0,0,0,0,0,0,0
421,HOUGANG AVE 10,13,1988,Y,N,N,N,N,N,HG,84,0,0,0,60,24,0,0,0,0,0,0,0
421,JURONG WEST ST 42,10,1984,Y,N,N,Y,N,N,JW,108,0,0,54,54,0,0,0,0,0,0,0,0
421,PASIR RIS DR 6,11,1988,Y,N,N,N,N,N,PRC,90,0,0,0,70,20,0,0,0,0,0,0,0
421,SERANGOON CTRL,13,1988,Y,N,N,N,N,N,SGN,96,0,0,0,72,24,0,0,0,0,0,0,0
421,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
421,WOODLANDS ST 41,13,1994,Y,N,N,N,N,N,WL,72,0,0,0,48,24,0,0,0,0,0,0,0
421A,CHOA CHU KANG AVE 4,1,1992,N,N,N,N,N,Y,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
421A,WOODLANDS ST 41,5,1994,N,N,N,N,Y,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0
422,ANG MO KIO AVE 3,13,1978,Y,Y,N,N,N,N,AMK,197,0,0,171,22,1,3,0,0,0,0,0,0
422,BEDOK NTH RD,14,1978,Y,N,N,Y,N,N,BD,156,0,0,0,156,0,0,0,0,0,0,0,0
422,BT BATOK WEST AVE 2,12,1985,Y,N,N,N,N,N,BB,114,0,0,68,46,0,0,0,0,0,0,0,0
422,CANBERRA RD,14,1999,Y,N,N,N,N,N,SB,93,0,0,0,28,65,0,0,0,0,0,0,0
422,CHOA CHU KANG AVE 4,16,1991,Y,N,N,Y,N,N,CCK,78,0,0,0,66,12,0,0,0,0,0,0,0
422,CLEMENTI AVE 1,20,2011,Y,N,N,N,N,N,CL,289,0,0,0,0,0,0,0,0,170,119,0,0
422,FAJAR RD,11,1988,Y,N,N,Y,N,N,BP,60,0,0,0,0,0,60,0,0,0,0,0,0
422,HOUGANG AVE 6,10,1989,Y,Y,N,Y,N,N,HG,99,0,0,0,81,18,0,0,0,0,0,0,0
422,JURONG WEST ST 42,10,1984,Y,N,N,N,N,N,JW,90,0,0,54,36,0,0,0,0,0,0,0,0
422,PASIR RIS DR 6,13,1989,Y,N,N,N,N,N,PRC,72,0,0,0,0,0,72,0,0,0,0,0,0
422,SERANGOON CTRL,13,1988,Y,N,N,N,N,N,SGN,96,0,0,0,72,24,0,0,0,0,0,0,0
