blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
312,SEMBAWANG DR,16,1997,Y,N,N,N,N,N,SB,135,0,0,0,60,75,0,0,0,0,0,0,0
313,SEMBAWANG DR,16,1997,Y,N,N,Y,N,N,SB,105,0,0,0,30,75,0,0,0,0,0,0,0
313A,SEMBAWANG DR,5,1997,N,Y,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
314,SEMBAWANG DR,16,1997,Y,N,N,N,N,N,SB,108,0,0,0,108,0,0,0,0,0,0,0,0
315,SEMBAWANG VISTA,16,1997,Y,N,N,Y,N,N,SB,90,0,0,0,60,30,0,0,0,0,0,0,0
316,SEMBAWANG VISTA,16,1997,Y,N,N,Y,N,N,SB,120,0,0,0,45,75,0,0,0,0,0,0,0
316A,SEMBAWANG VISTA,5,1997,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
317,SEMBAWANG VISTA,16,1997,Y,N,N,Y,N,N,SB,150,0,0,0,75,75,0,0,0,0,0,0,0
318,SEMBAWANG VISTA,16,1997,Y,N,N,Y,N,N,SB,121,0,0,0,93,28,0,0,0,0,0,0,0
319,SEMBAWANG CL,15,1997,Y,N,N,Y,N,N,SB,86,0,0,0,58,28,0,0,0,0,0,0,0
320,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,79,0,0,0,58,21,0,0,0,0,0,0,0
321,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,100,0,0,0,28,72,0,0,0,0,0,0,0
322,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,111,0,0,0,42,69,0,0,0,0,0,0,0
322A,SEMBAWANG CL,5,1997,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
323,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,100,0,0,0,28,72,0,0,0,0,0,0,0
323A,SEMBAWANG CL,1,1998,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
324,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,111,0,0,0,42,69,0,0,0,0,0,0,0
325,SEMBAWANG CRES,15,1997,Y,N,N,N,N,N,SB,98,0,0,0,42,56,0,0,0,0,0,0,0
325A,SEMBAWANG CRES,5,1997,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
326,SEMBAWANG CRES,15,1997,Y,N,N,Y,N,N,SB,84,0,0,0,56,28,0,0,0,0,0,0,0
327,SEMBAWANG CRES,15,1997,Y,N,N,Y,N,N,SB,117,0,0,0,59,58,0,0,0,0,0,0,0
328,SEMBAWANG CRES,15,1997,Y,N,N,Y,N,N,SB,87,0,0,0,59,28,0,0,0,0,0,0,0
329,SEMBAWANG CL,16,1998,Y,N,N,N,N,N,SB,107,0,0,0,31,31,45,0,0,0,0,0,0
330,SEMBAWANG CL,16,1998,Y,N,N,Y,N,N,SB,150,0,0,0,75,75,0,0,0,0,0,0,0
330A,SEMBAWANG CL,5,1998,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
331,SEMBAWANG CL,16,1998,Y,N,N,Y,N,N,SB,150,0,0,0,75,75,0,0,0,0,0,0,0
332,SEMBAWANG CL,16,1998,Y,N,N,N,N,N,SB,107,0,0,0,31,31,45,0,0,0,0,0,0
333,SEMBAWANG CL,16,1998,Y,N,N,N,N,N,SB,107,0,0,0,31,31,45,0,0,0,0,0,0
334,SEMBAWANG CL,16,1998,Y,N,N,Y,N,N,SB,169,0,0,0,114,55,0,0,0,0,0,0,0
334A,SEMBAWANG CL,1,2005,N,Y,N,N,N,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
335,SEMBAWANG CL,16,1998,Y,Y,N,N,N,N,SB,117,0,0,0,48,69,0,0,0,0,0,0,0
335A,SEMBAWANG CL,5,1998,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
336,SEMBAWANG CRES,16,1998,Y,N,N,Y,N,N,SB,120,0,0,0,45,30,45,0,0,0,0,0,0
336A,SEMBAWANG CRES,5,1998,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
337,SEMBAWANG CRES,16,1998,Y,N,N,Y,N,N,SB,120,0,0,0,45,30,45,0,0,0,0,0,0
337A,SEMBAWANG CRES,1,1998,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
338,SEMBAWANG CRES,16,1998,Y,N,N,Y,N,N,SB,120,0,0,0,45,30,45,0,0,0,0,0,0
339,SEMBAWANG CL,6,1999,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
